family,size,m,bos_vs_heft,bos_vs_fifo
chain_heavy,large,2,0.5361,0.9526
chain_heavy,large,4,0.606,0.9283
chain_heavy,large,8,0.6274,0.9047
chain_heavy,medium,2,0.2939,0.871
chain_heavy,medium,4,0.4647,0.8573
chain_heavy,medium,8,0.3052,0.7968
chain_heavy,small,2,0.1711,0.6797
chain_heavy,small,4,0.0756,0.5894
chain_heavy,small,8,0.0167,0.3491
fork_join,large,2,0.6867,0.9387
fork_join,large,4,0.71,0.9351
fork_join,large,8,0.7795,0.9419
fork_join,medium,2,0.4026,0.8841
fork_join,medium,4,0.4864,0.9056
fork_join,medium,8,0.443,0.8256
fork_join,small,2,0.4087,0.7813
fork_join,small,4,0.4055,0.7535
fork_join,small,8,0.1167,0.4895
merge_heavy,large,2,0.5099,0.9493
merge_heavy,large,4,0.6346,0.9475
merge_heavy,large,8,0.6292,0.9435
merge_heavy,medium,2,0.3415,0.8787
merge_heavy,medium,4,0.4158,0.8878
merge_heavy,medium,8,0.059,0.8408
merge_heavy,small,2,0.2112,0.6097
merge_heavy,small,4,0.2631,0.6627
merge_heavy,small,8,0.1059,0.3074
overlap_rich,large,2,0.8183,0.9185
overlap_rich,large,4,0.8282,0.9243
overlap_rich,large,8,0.8223,0.9298
overlap_rich,medium,2,0.58,0.8661
overlap_rich,medium,4,0.6326,0.9182
overlap_rich,medium,8,0.71,0.8652
overlap_rich,small,2,0.5037,0.8556
overlap_rich,small,4,0.5253,0.7979
overlap_rich,small,8,0.1907,0.4656
